Ticker,Name,Year,ISIN Number,SIC Code,GICS Industry,Country or Territory of Domicile,Number of Employees,Total Assets,R&D Expense,R&D Expense Adjusted,Operating Expenses R&D,Cash and Cash Equivalents,Environmental Disclosure Score,Social Disclosure Score,Governance Disclosure Score,Tobin's Q Ratio,Return on Assets,Return on Common Equity,Gross Margin
VRSK UW Equity,Verisk Analytics Inc,2016,US92345Y1064,7374,202020,US,6148,4631.2,27.4,27.4,27.4,135.1,22.4806,38.5965,60.7143,3.6378,11.5639,43.7213,64.1941
EVTC UN Equity,EVERTEC Inc,2016,PR30040P1032,7374,451020,PR,1650,885.662,0,0,0,51.92,4.6512,24.5614,51.7857,2.3375,8.5474,73.9553,54.8637
PFG UW Equity,Principal Financial Group Inc,2016,US74251V1026,6321,403010,US,14895,228014.3,#N/A N/A,#N/A N/A,#N/A N/A,2719.6,25.8929,28.3333,60.7143,1.0282,0.5895,13.4757,#N/A N/A
NXPI UW Equity,NXP Semiconductors NV,2016,NL0009538784,3674,453010,NL,40400,24898,1560,1520,1560,1894,40.3101,28.0702,26.7857,1.8811,0.7805,1.7817,42.8406
CELH UR Equity,Celsius Holdings Inc,2016,US15118V2079,2086,302010,US,39,17.7171,0,0,0,11.7471,#N/A N/A,3.5088,37.5,6.2765,#N/A N/A,#N/A N/A,42.7479
AXP UN Equity,American Express Co,2016,US0258161092,6199,402020,US,56400,158893,#N/A N/A,#N/A N/A,#N/A N/A,25208,48.2143,36.6667,75,1.2924,3.3586,25.5112,#N/A N/A
VZ UN Equity,Verizon Communications Inc,2016,US92343V1044,4813,501010,US,160900,244180,0,0,0,2880,29.2683,46.875,80.3571,1.799,5.376,67.4009,58.1672
BA UN Equity,Boeing Co/The,2016,US0970231058,3721,201010,US,150500,89997,4626,4626,4626,8801,28.6822,24.5614,55.3571,2.0585,5.4597,140.7718,15.4766
DOW UN Equity,Dow Inc,2016,US2605571031,#N/A N/A,151010,US,#N/A N/A,#N/A N/A,745,745,745,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17.112
JYNT UR Equity,Joint Corp/The,2016,US47973J1025,6794,351020,US,94,17.0549,0,0,0,3.0099,#N/A N/A,19.2982,51.7857,2.6171,-60.1932,-109.9368,85.677
RCL UN Equity,Royal Caribbean Cruises Ltd,2016,LR0008862868,4400,253010,US,6000,22310.324,0,#N/A N/A,#N/A N/A,132.603,35.6589,33.3333,66.0714,1.3803,5.9372,14.9366,88.4748
CAT UN Equity,Caterpillar Inc,2016,US1491231015,3531,201060,US,95400,74704,1853,1853,1853,7168,33.3333,38.5965,71.4286,1.5522,-0.0876,-0.4795,25.6818
SCVL UW Equity,Shoe Carnival Inc,2016,US8248891090,5661,255040,US,2400,481.093,0,0,0,68.814,#N/A N/A,19.2982,51.7857,1.2408,6.0811,8.4057,29.5249
JPM UN Equity,JPMorgan Chase & Co,2016,US46625H1005,6021,401010,US,243355,2490972,#N/A N/A,#N/A N/A,#N/A N/A,23873,41.9643,35,78.5714,1.0318,1.0215,10.1569,#N/A N/A
BNED UN Equity,Barnes & Noble Education Inc,2016,US06777U1016,5940,255040,US,6700,1071.683,0,0,0,28.568,#N/A N/A,8.7719,51.7857,0.7474,0.0078,0.0117,25.0742
CVX UN Equity,Chevron Corp,2016,US1667641005,2911,101020,US,55200,260078,476,0,0,6988,47.9339,51.5625,69.6429,1.2964,-0.1895,-0.3333,-0.1287
EME UN Equity,EMCOR Group Inc,2016,US29084Q1004,1731,201030,US,31000,3852.438,0,0,0,464.617,1.5504,19.2982,51.7857,1.7021,4.9179,12.0735,13.7437
LII UN Equity,Lennox International Inc,2016,US5261071071,3585,201020,US,10600,1760.3,64.6,#N/A N/A,#N/A N/A,50.2,12.4031,28.0702,55.3571,4.718,16.162,400.2882,29.5612
KO UN Equity,Coca-Cola Co/The,2016,US1912161007,2080,302010,US,100300,87270,0,0,0,8555,44.186,43.8596,58.9286,2.7729,7.3641,26.8512,60.6693
DIS UN Equity,Walt Disney Co/The,2016,US2546871060,7990,502020,US,195000,92033,0,0,0,4610,27.907,33.3333,60.7143,2.1443,10.422,21.3942,46.0868
PSX UN Equity,Phillips 66,2016,US7185461040,2911,101020,US,14800,51653,60,#N/A N/A,#N/A N/A,2711,29.4574,38.5965,58.9286,1.4344,3.1028,6.8367,9.8099
XOM UN Equity,Exxon Mobil Corp,2016,US30231G1022,2911,101020,US,71100,330314,1058,1058,1058,3657,53.719,48.4375,75,1.6269,2.3506,4.6372,6.5803
ALG UN Equity,Alamo Group Inc,2016,US0113111076,3523,201060,US,2900,552.776,8.847,0,0,16.793,#N/A N/A,#N/A N/A,48.2143,1.8708,6.9265,10.7046,24.2793
GE UN Equity,General Electric Co,2016,US3696043013,3600,201050,US,295000,365183,5480,#N/A N/A,#N/A N/A,48129,44.186,38.5965,66.0714,1.5489,2.0579,9.3917,26.9068
HPQ UN Equity,HP Inc,2016,US40434L1052,3570,452020,US,49000,28987,1209,1209,1209,6288,60.4651,47.3684,67.8571,1.99,3.6741,#N/A N/A,18.6533
HD UN Equity,Home Depot Inc/The,2016,US4370761029,5211,255040,US,385000,42549,0,0,0,2216,22.9167,22.807,60.7143,4.552,16.9925,89.6406,34.1904
IBM UN Equity,International Business Machines Corp,2016,US4592001014,3570,451020,US,380300,117470,5751,5722,5751,7826,60.4651,36.8421,67.8571,2.1812,10.4156,73.0405,47.916
DXCM UW Equity,Dexcom Inc,2016,US2521311074,3841,351010,US,1900,402.8,156.1,156.1,156.1,94.5,#N/A N/A,19.2982,51.7857,12.8342,-18.8831,-25.9802,66.0038
JNJ UN Equity,Johnson & Johnson,2016,US4781601046,2834,352020,US,126400,141208,9095,9095,9095,18972,61.2403,43.8596,66.0714,2.7095,12.0458,23.3669,69.8359
ANGO UW Equity,AngioDynamics Inc,2016,US03475V1017,3841,351010,US,1300,727.063,25.053,25.053,25.053,32.333,1.5504,14.0351,51.7857,0.9016,-8.2113,-11.7055,49.2571
MCD UN Equity,McDonald's Corp,2016,US5801351017,5812,253010,US,375000,31023.9,0,0,0,1223.4,40.625,22.807,51.7857,4.2855,13.5914,#N/A N/A,48.4248
MRK UN Equity,Merck & Co Inc,2016,US58933Y1055,2834,352020,US,68000,95377,10124,9760,10124,6515,58.1395,59.6491,69.6429,2.2763,3.9786,9.2492,65.1041
MMM UN Equity,3M Co,2016,US88579Y1010,3841,201050,US,91584,32906,1764,1764,1764,2398,51.1628,49.1228,66.0714,3.9253,15.3521,46.4859,49.7891
BAC UN Equity,Bank of America Corp,2016,US0605051046,6021,401010,US,208000,2188067,#N/A N/A,#N/A N/A,#N/A N/A,30719,59.8214,56.6667,85.7143,0.9914,0.8227,6.7975,#N/A N/A
PFE UN Equity,Pfizer Inc,2016,US7170811035,2834,352020,US,96500,171615,7872,7841,7872,2595,44.186,33.3333,55.3571,1.802,4.2567,11.6138,76.6602
PG UN Equity,Procter & Gamble Co/The,2016,US7427181091,2840,303010,US,105000,127136,1879,1879,1879,7102,37.9845,28.0702,57.1429,2.3417,8.1892,17.5228,49.6026
GPMT UN Equity,Granite Point Mortgage Trust Inc,2016,US38741L1070,#N/A N/A,402040,US,#N/A N/A,1495.607,#N/A N/A,#N/A N/A,#N/A N/A,56.019,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BKU UN Equity,BankUnited Inc,2016,US06652K1034,6035,401010,US,1622,27880.151,#N/A N/A,#N/A N/A,#N/A N/A,75.673,#N/A N/A,13.3333,51.7857,1.0541,0.8722,9.3078,#N/A N/A
T UN Equity,AT&T Inc,2016,US00206R1023,4813,501010,US,268540,403821,1649,#N/A N/A,#N/A N/A,5788,58.5366,42.1875,66.0714,1.3416,3.2179,10.5685,53.0583
TRV UN Equity,Travelers Cos Inc/The,2016,US89417E1091,6331,403010,US,30900,100245,#N/A N/A,#N/A N/A,#N/A N/A,307,#N/A N/A,18.3333,55.3571,1.1098,3.0075,12.7811,#N/A N/A
SBRA UW Equity,Sabra Health Care REIT Inc,2016,US78573L1061,6798,601010,US,14,2265.919,#N/A N/A,#N/A N/A,#N/A N/A,25.663,1.5504,8.7719,51.7857,1.2554,2.9685,5.8026,#N/A N/A
TKR UN Equity,Timken Co/The,2016,US8873891043,3562,201060,US,14000,2763.2,31.8,0,0,148.8,9.3023,19.2982,55.3571,1.6496,5.0752,10.8133,25.0393
RTX UN Equity,Raytheon Technologies Corp,2016,US75513E1010,3724,201010,US,201600,89706,2337,2337,2337,7157,47.2868,28.0702,64.2857,1.6808,5.7057,18.4029,27.5732
WMT UN Equity,Walmart Inc,2016,US9311421039,5331,301010,US,2300000,199581,#N/A N/A,0,0,8705,28.125,28.0702,60.7143,1.6478,7.291,18.1475,25.1272
CSCO UW Equity,Cisco Systems Inc/Delaware,2016,US17275R1023,3576,452010,US,73700,121652,6296,6296,6296,7631,61.2403,43.8596,71.4286,1.7394,9.1344,17.4216,62.8668
INTC UW Equity,Intel Corp,2016,US4581401001,3674,453010,US,106000,113327,12685,12685,12685,5560,60.4651,43.8596,75,1.9217,9.5345,16.0945,61.0117
MSFT UW Equity,Microsoft Corp,2016,US5949181045,7372,451030,US,114000,202897,11988,11988,11988,6510,57.3643,43.8596,60.7143,2.5596,10.8854,25.1745,64.0389
CYTK UW Equity,Cytokinetics Inc,2016,US23282W6057,2834,352010,US,127,170.142,59.897,59.897,59.897,66.874,#N/A N/A,8.7719,51.7857,3.348,11.5306,20.1938,#N/A N/A
AIN UN Equity,Albany International Corp,2016,US0123481089,2221,201060,US,4400,1263.433,40.304,40.304,40.304,181.742,#N/A N/A,#N/A N/A,48.2143,1.775,4.64,10.4797,38.5423
