company_id,speciality
81149246,Childrens Music Education
81149246,Foundational Music Theory
81149246,Child Music Lessons
81149246,social emotional learning
81149246,social emotional development
81149246,education
81149246,formative assessment
81149246,expanded learning
81149246,enrichment programs
10033339,SharePoint
10033339,Office 365
10033339,Consulting
10033339,Project management
10033339,InfoPath
10033339,Government contracting
10033339,PowerApps
10033339,Microsoft Flow
10033339,Agile
10033339,DevOps
10033339,Cloud computing
6049228,Accounting
6049228,Accounts Payable
6049228,Treasury Management
6049228,Expert Software Implementation & Consulting
2641066,Solenoids
2641066,DURO-TECH Solenoids
2641066,Custom Solenoids
2641066,Magnetic Latching
2641066,Electromagnets
2641066,Value Added Assemblies
2641066,Voice Coils
2641066,Spool-Lock Solenoids
2641066,Bi-Directional Actuators
2641066,Linear Solenoids
2641066,Rotary Solenoids
2641066,HAZ-LOC Solenoid Coils
2641066,Locking Solenoids
2641066,PWM
2641066,Valves
82684341,Dry eyes
82684341,Primary care
82684341,Children's Eye Exams
82684341,Ocular Disease Managment
82684341,Optical 
82684341,Fashion
82684341,Ocualr Skin Care
82684341,LASIK 
82296828,Bitcoin Mining
82296828,Blockchain
82296828,Cryptocurrency
82296828,ASIC Mining
82296828,ASIC Miner Hosting
82296828,Cryptocurrency Mining
82296828,Immersion-Cooled Mining
82296828,Bitcoin
82296828,Blockchain Technology
82296828,Blockchain Services
82296828,Digital Asset Management
82296828,Data Centers
82296828,Data Center Infrastructure
7573454,Web Development
7573454,Custom Software Development.
7573454,Content Management
7573454,Data Analytics
7573454,Big Data
7573454,Apache Nifi
7573454,Scala
7573454,Branding
7573454,JavaScript
7573454,Cloud Migration
7573454,AWS
7573454,Project Management
7573454,Digital Marketing
7573454,Machine Learning
7573454,IoT
7573454,AI
7573454,Training 
7573454,Staff Augmentation 
7573454,Software Development 
7573454,LMS
7573454,Airflow
1434753,Electrical Engineering
1434753,Lighting Design
1434753,Telecommunications
1434753,Audiovisual
1434753,Data Centers
1434753,Sustainable Energy
1434753,Safety and Security
91459053,online professional network
91459053,jobs
91459053,people search
91459053,company search
91459053,address book
91459053,advertising
91459053,professional identity
91459053,recruiting
145145,Executive Recruiting
145145,Sales
145145,Marketing
145145,National Accounts
145145,Regulatory Affairs
