company_id,employee_count,follower_count,time_recorded
81149246,6,91,1692644644.2779734
10033339,3,187,1692644644.2779734
6049228,20,82,1692644645.1013184
2641066,45,2336,1692644645.9232166
96649998,0,2,1692644645.9242187
82684341,3,128,1692644646.3704655
82296828,0,64,1692644646.3704655
86746333,11,478,1692644646.8182244
718651,5,22,1692644647.1765628
4781041,14,17,1692644647.62722
7573454,94,9048,1692644648.0613468
1434753,61,653,1692644648.0613468
90844,249,1236,1692644648.44355
91459053,2,24,1692644648.8276289
145145,44,16833,1692644648.8276289
2899710,139,2841,1692644649.205593
20338460,38,1656,1692644649.205593
90633414,5,732,1692644649.578196
2902815,183,29262,1692644649.578196
371180,1893,31310,1692644649.9914944
10563070,14,349,1692644649.9914944
88684,147,8111,1692644650.34355
14615655,36,10237,1692644650.34355
69571610,3717,158109,1692644650.6863291
3657,28732,744716,1692644650.6863291
62424,899,10311,1692644651.0513952
18630069,19,1884,1692644651.0513952
1387626,1676,39770,1692644651.4494987
35602,462,5824,1692644651.4494987
18872958,335,156482,1692644652.0976858
89908682,18,301,1692644652.0976858
2502541,29,8058,1692644653.155199
9516195,113,8089,1692644653.155199
298409,395,146046,1692644653.5256968
37768,2025,231325,1692644653.940611
91187899,2,582,1692644653.9416597
7032083,119,40756,1692644654.387137
33874,3725,15731,1692644654.3881612
8986045,0,116,1692644655.1957421
81886402,1687,30991,1692644655.1957421
34771768,7,413,1692644655.5833864
3579761,1873,17929,1692644655.5833864
6979,25985,387187,1692644655.9695814
79378951,19,95,1692644656.7188246
26489605,19,762,1692644656.7188246
9215353,499,6977,1692644657.0863972
76323347,932,14276,1692644657.4319358
3514329,422,20754,1692644659.0128865
2999886,17,16309,1692644659.3629177
8288,5521,87035,1692644659.3629177
2815,43186,284104,1692644659.9981124
61677,2815,389704,1692644660.3392503
40934666,5,16505,1692644660.3392503
1485063,29,229,1692644661.1587803
19115854,113,267,1692644661.6190252
1124883,98,696,1692644661.6190252
4316275,12,20,1692644661.994752
27116461,59,11841,1692644661.994752
64734122,31,291,1692644662.3694382
272676,6,590,1692644663.2780228
3079381,8,178,1692644663.2780228
10665641,449,47697,1692644663.6600559
2313067,7,10842,1692644663.6600559
777243,356,241253,1692644664.067028
72332830,91,32494,1692644664.068053
165957,4756,90015,1692644664.4544868
166612,9708,147371,1692645428
22681,790,102620,1692645428
2326570,670,59672,1692645429
82591929,8,2159,1692684486
90403412,1,4,1692684486
11555975,18,751,1692684486
301266,34,825,1692684486
922460,222,2941,1692684487
11001662,5,409,1692684487
25963,1250,20418,1692684487
54945276,7,7,1692684487
72628508,10,1242,1692684488
61242,156,2498,1692684488
9599126,64,263,1692684488
260776,311,5405,1692684488
1476408,572,36757,1692684489
153682,538,5185,1692684489
90636422,282,2104,1692684489
80998774,88,2554,1692684489
71558880,108,1879,1692684489
965922,18,448,1692684489
84013022,4,96,1692684490
1505704,418,5615,1692684490
11234188,59,4705,1692684490
14015698,12,275,1692684491
74886057,1,14,1692684491
477012,16,2274,1692684491
150217,551,8906,1692684491
8167270,38,631,1692684491
15440862,98,690,1692684492
11420962,6001,115401,1692684492
16063763,39,2729,1692684492
40775779,68,901,1692684492
1211072,131,2050,1692684493
4743385,40,699,1692684493
109690,188,6932,1692684493
82809834,2,3121,1692684494
5103135,36,1463,1692684494
25719,52,796,1692684494
64948032,70,2607,1692684494
99429,201,2385,1692684495
2281751,20,293,1692684495
1724775,140,35612,1692684495
8596,4836,94215,1692684496
22330287,989,40087,1692684496
80851163,11,341,1692684496
88171782,11,384,1692684496
2434292,5,3432,1692684497
165416,5752,81838,1692684497
104849,147,4301,1692684497
37270045,7,121,1692684497
71612518,3,76,1692684497
3671,16063,204662,1692684497
2413926,13,8106,1692684499
3663488,51,5665,1692684499
2474970,78,9443,1692684500
101699,733,9555,1692684501
4857886,2948,45509,1692684503
1584751,10,22616,1692684505
2908367,1735,164175,1692684506
90723074,96,548,1692684507
206587,13,911,1692684507
205127,139,88337,1692684507
344890,1014,2407,1692684508
1441,285743,30762143,1692684508
9185,19759,114381,1692684508
93283844,0,964,1692684510
1318,290150,7770078,1692684512
26923,1054,4203,1692684512
28014,1585,95817,1692684512
64877765,70,27772,1692684518
20767,234,23795,1692684518
10589520,152,7239,1692684519
11135982,24872,410103,1692684519
2625582,33,3705,1692684519
1117761,198,3232,1692684519
18883340,347,1360,1692684520
94141062,7,281,1692684520
16055920,13,9,1692684520
2138573,24,970,1692684520
2272345,30,1111,1692684520
67936,372,4446,1692684521
28609431,15,777,1692684521
90392784,4,30,1692684521
57142940,26,125,1692684522
2853559,10,632,1692684522
9282983,15,10284,1692684522
34208,2508,31229,1692684522
9238932,72,1277,1692684522
92430070,2,475,1692684523
98550552,0,29,1692684523
10069048,21,850,1692684523
10779570,57,1251,1692684524
11158118,68,213,1692684524
15391027,23,464,1692684525
444038,68,6359,1692684525
33246798,50049,2663406,1692684525
35504315,3785,18526,1692684526
346080,2808,35495,1692684527
1264,3543,130651,1692684527
6978821,705,380769,1692684529
1177302,964,27592,1692684530
1400,31271,1697119,1692684531
36879,1102,7666,1692684531
808034,18302,90008,1692684531
80862575,437,1560,1692684532
1262,65850,2104220,1692684532
3690818,1889,14225,1692684533
73013724,251,28671,1692684533
22980,713,5279,1692684534
94355,1032,22290,1692684534
230495,69,3060,1692684535
113254,2949,44877,1692684535
1075434,15907,124632,1692684536
107457,727,7206,1692684536
18270206,47,611,1692684538
49223,1405,8126,1692684539
12601,4227,112880,1692684539
16198010,89916,1963112,1692684540
8274,7320,420958,1692684540
18691,7196,36533,1692684540
10409601,29,486,1692684541
79806,525,17404,1692684542
1947704,55,1398,1692684543
89094,196,8256,1692684543
2263179,5998,108685,1692684544
468782,8546,135847,1692684544
434598,1013,88955,1692684545
7550,5410,85781,1692684546
6684,5879,600171,1692684547
1633243,101,2533,1692684547
6476,2038,25270,1692684548
89830003,2,96,1692684549
1063,99677,6182716,1692684549
6547149,1154,12651,1692684549
46521,1009,8224,1692684549
24629,181,452226,1692684552
78853109,110,2502,1692684553
13181,2919,22093,1692684555
1089558,48,14476,1692772325
3894635,40,563,1692772326
18995316,49,1960,1692772326
882349,95,736,1692772328
61469,202,1812,1692772328
21514196,151,5035,1692772330
6910,11000,342625,1692772332
9730586,871,29587,1692772332
61400,531,10409,1692772333
77169664,18,42,1692772333
73828006,3,107,1692772335
68746191,7,31,1692772335
69660814,24,45,1692772336
81922135,5,59,1692772336
131915,148,1670,1692772338
62804,142,1562,1692772338
1889003,53,331,1692772339
3149515,31,7845,1692772339
2937626,36,1918,1692772340
3628379,58,1232,1692772340
18192301,20,113,1692772342
84939936,14,51,1692772342
70803322,3,4,1692772600
44786,135,15365,1692772600
106551,286,4707,1692772602
308409,2354,32082,1692772602
3928505,12,50,1692772603
4376443,1,25,1692772603
36019672,1,95,1692772605
58569536,60,200,1692772606
35696106,12,1064,1692772606
543150,38,2213,1692772607
210234,13,707,1692772607
583005,352,4485,1692772609
69642092,3,1100,1692772609
11034338,3,1574,1692772610
2680550,31,169,1692772610
10937173,42,819,1692772612
82327978,31,280,1692772612
3566984,145,847,1692772613
89737107,6,71,1692772613
2803017,39,896,1692772614
35444763,355,1097,1692772614
84855353,148,857,1692772616
10229031,43,10504,1692772616
2144424,513,24782,1692772617
11768999,27,209,1692772617
1215629,451,184617,1692772619
1981697,77,1753,1692772619
93094245,3,150,1692772620
20397,18745,45329,1692772620
82884837,45,6539,1692772621
72739246,10,230,1692772621
95734747,1,3,1692772623
10279563,74,1086,1692772623
90666319,10,12434,1692772624
436163,333,5839,1692772624
750072,1471,157212,1692772626
278493,80,417,1692772627
1313100,83,69123,1692772627
313823,473,109977,1692772628
440105,64,2189,1692772628
6648075,17,27205,1692772630
1313822,55,4857,1692772630
15083522,177,2416,1692772632
3194825,42,1721,1692772632
68921004,12,10327,1692772633
16318,1686,14445,1692772633
9260752,173,11127,1692772635
2214679,3023,25326,1692772635
35512060,36,22724,1692772636
13391879,96,29796,1692772636
1012693,125,1803,1692772637
18106858,116,11894,1692772637
14467750,305,56930,1692772639
1268739,77,5092,1692772639
28966001,19,18878,1692772640
82559090,14,1527,1692772640
87720672,1,511,1692772642
91098929,6,241,1692772642
47660218,7,268,1692816979
89721371,2,82,1692816979
47238,764,11976,1692816979
1044,273293,5559823,1692816979
1180728,366,6862,1692816979
89768356,11,377,1692816979
164992,111,47802,1692816979
65515408,31,285,1692816979
15363324,50,237,1692816979
88421962,44,362,1692816979
1318870,41,1150,1692816979
96654985,0,1,1692816979
96360915,2,41,1692816979
2740813,315,24731,1692816979
80051634,16,1767,1692816979
487710,805,1168,1692816979
2389778,27,4446,1692816979
6967,1257,47800,1692816979
66932,26,2256,1692816979
77757558,13,613,1692816979
10035810,26328,222396,1692816979
45068,3293,49413,1692817060
164707,3960,90021,1692817060
28142959,18,2585,1692817060
1712352,25,707,1692817060
81471675,2,359,1692817060
80777602,2,75,1692817060
43041,2637,12116,1692817060
2476170,23,382,1692817060
3769582,15,267,1692817060
