salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
1,3378133231,30.0,,22.0,HOURLY,USD,BASE_SALARY
2,3690843087,65000.0,,55000.0,YEARLY,USD,BASE_SALARY
3,3691794313,22.0,,19.0,HOURLY,USD,BASE_SALARY
4,3691795389,70000.0,,68000.0,YEARLY,USD,BASE_SALARY
5,3691797089,22.0,,18.0,HOURLY,USD,BASE_SALARY
6,3691797249,26.0,,21.0,HOURLY,USD,BASE_SALARY
7,3691797979,120250.0,,98924.0,YEARLY,USD,BASE_SALARY
8,3691798879,85000.0,,75000.0,YEARLY,USD,BASE_SALARY
9,3691799449,135000.0,,120000.0,YEARLY,USD,BASE_SALARY
10,3691799471,135300.0,,98400.0,YEARLY,USD,BASE_SALARY
11,3691799474,18.0,,16.0,HOURLY,USD,BASE_SALARY
12,3692300372,280000.0,,180000.0,YEARLY,USD,BASE_SALARY
13,3692301162,73.0,,65.0,HOURLY,USD,BASE_SALARY
14,3692301169,63000.0,,60000.0,YEARLY,USD,BASE_SALARY
15,3692301171,48000.0,,35000.0,YEARLY,USD,BASE_SALARY
16,3692302089,80.0,,70.0,HOURLY,USD,BASE_SALARY
17,3696362362,68000.0,,61000.0,YEARLY,USD,BASE_SALARY
18,3696373506,75.0,,55.0,YEARLY,USD,BASE_SALARY
19,3696388859,255525.0,,185700.0,YEARLY,USD,BASE_SALARY
20,3696394452,64.14,,64.14,HOURLY,USD,BASE_SALARY
21,3696396337,40.0,,35.0,HOURLY,USD,BASE_SALARY
22,3696396357,175000.0,,100000.0,YEARLY,USD,BASE_SALARY
23,3699947010,25.0,,18.26,HOURLY,USD,BASE_SALARY
24,3700100103,62000.0,,58000.0,YEARLY,USD,BASE_SALARY
25,3700101731,23.5,,15.5,HOURLY,USD,BASE_SALARY
26,3700106733,32.0,,29.0,HOURLY,USD,BASE_SALARY
27,3700107001,23.5,,15.5,HOURLY,USD,BASE_SALARY
28,3700111693,85000.0,,70000.0,YEARLY,USD,BASE_SALARY
29,3700124761,150000.0,,150000.0,YEARLY,USD,BASE_SALARY
30,3700138521,37000.0,,35000.0,YEARLY,USD,BASE_SALARY
31,3700144594,75000.0,,70000.0,YEARLY,USD,BASE_SALARY
32,3700147810,150000.0,,125000.0,YEARLY,USD,BASE_SALARY
33,3690804650,190000.0,,127000.0,YEARLY,USD,BASE_SALARY
34,3690813856,75000.0,,70000.0,YEARLY,USD,BASE_SALARY
35,3690821627,200000.0,,200000.0,YEARLY,USD,BASE_SALARY
36,3690832043,70000.0,,70000.0,YEARLY,USD,BASE_SALARY
37,3690834347,75000.0,,65000.0,YEARLY,USD,BASE_SALARY
38,3690837484,50000.0,,50000.0,YEARLY,USD,BASE_SALARY
39,3690841034,112372.0,,83433.0,YEARLY,USD,BASE_SALARY
40,3690841406,110000.0,,100000.0,YEARLY,USD,BASE_SALARY
41,3690843414,145000.0,,95000.0,YEARLY,USD,BASE_SALARY
42,3690846882,275000.0,,200000.0,YEARLY,USD,BASE_SALARY
43,3690849145,300000.0,,250000.0,YEARLY,USD,BASE_SALARY
44,3690850853,125000.0,,100000.0,YEARLY,USD,BASE_SALARY
45,3690853209,20.0,,18.0,HOURLY,USD,BASE_SALARY
46,3690859360,21.0,,20.0,HOURLY,USD,BASE_SALARY
47,3690860158,75000.0,,65000.0,YEARLY,USD,BASE_SALARY
48,3690867240,48.0,,40.0,HOURLY,USD,BASE_SALARY
49,3690870151,115000.0,,89949.0,YEARLY,USD,BASE_SALARY
