skill_abr,skill_name
PRCH,Purchasing
SUPL,Supply Chain
PR,Public Relations
SCI,Science
STRA,Strategy/Planning
WRT,Writing/Editing
QA,Quality Assurance
DIST,Distribution
PROD,Production
PRJM,Project Management
ADVR,Advertising
RSCH,Research
HR,Human Resources
LGL,Legal
PRDM,Product Management
MRKT,Marketing
EDU,Education
TRNG,Training
ANLS,Analyst
FIN,Finance
SALE,Sales
BD,Business Development
MGMT,Management
MNFC,Manufacturing
GENB,General Business
CUST,Customer Service
ENG,Engineering
OTHR,Other
CNSL,Consulting
ACCT,Accounting/Auditing
HCPR,Health Care Provider
DSGN,Design
ART,Art/Creative
IT,Information Technology
ADM,Administrative
