code_module,code_presentation,id_assessment,assessment_type,date,weight
BBB,2013B,14991,CMA,54.0,1.0
BBB,2013B,14992,CMA,89.0,1.0
BBB,2013B,14993,CMA,124.0,1.0
BBB,2013B,14994,CMA,159.0,1.0
BBB,2013B,14995,CMA,187.0,1.0
BBB,2013B,14984,TMA,19.0,5.0
BBB,2013B,14985,TMA,47.0,18.0
BBB,2013B,14986,TMA,89.0,18.0
BBB,2013B,14987,TMA,124.0,18.0
BBB,2013B,14988,TMA,159.0,18.0
BBB,2013B,14989,TMA,187.0,18.0
BBB,2013B,14990,Exam,,100.0
BBB,2013J,15003,CMA,54.0,1.0
BBB,2013J,15004,CMA,96.0,1.0
BBB,2013J,15005,CMA,131.0,1.0
BBB,2013J,15006,CMA,166.0,1.0
BBB,2013J,15007,CMA,208.0,1.0
BBB,2013J,14996,TMA,19.0,5.0
BBB,2013J,14997,TMA,47.0,18.0
BBB,2013J,14998,TMA,96.0,18.0
BBB,2013J,14999,TMA,131.0,18.0
BBB,2013J,15000,TMA,166.0,18.0
BBB,2013J,15001,TMA,208.0,18.0
BBB,2013J,15002,Exam,,100.0
BBB,2014B,15015,CMA,47.0,1.0
BBB,2014B,15016,CMA,82.0,1.0
BBB,2014B,15017,CMA,117.0,1.0
BBB,2014B,15018,CMA,152.0,1.0
BBB,2014B,15019,CMA,194.0,1.0
BBB,2014B,15008,TMA,12.0,5.0
BBB,2014B,15009,TMA,40.0,18.0
BBB,2014B,15010,TMA,82.0,18.0
BBB,2014B,15011,TMA,117.0,18.0
BBB,2014B,15012,TMA,152.0,18.0
BBB,2014B,15013,TMA,194.0,18.0
BBB,2014B,15014,Exam,,100.0
BBB,2014J,15020,TMA,19.0,0.0
BBB,2014J,15021,TMA,54.0,10.0
BBB,2014J,15022,TMA,110.0,20.0
BBB,2014J,15023,TMA,152.0,35.0
BBB,2014J,15024,TMA,201.0,35.0
BBB,2014J,15025,Exam,,100.0
