id_assessment,id_student,date_submitted,is_banked,score,code_module
14984,1008675,19,0,70.0,BBB
14984,1098728,19,0,75.0,BBB
14984,1413989,30,0,86.0,BBB
14984,1436591,14,0,77.0,BBB
14984,1480800,15,0,77.0,BBB
14984,1493476,19,0,75.0,BBB
14984,1521540,16,0,83.0,BBB
14984,1536591,19,0,70.0,BBB
14984,1574398,17,0,78.0,BBB
14984,1659662,18,0,72.0,BBB
14984,1678401,18,0,57.0,BBB
14984,1721462,21,0,74.0,BBB
14984,1728437,19,0,85.0,BBB
14984,1730702,22,0,60.0,BBB
14984,1747892,17,0,75.0,BBB
14984,1753965,19,0,79.0,BBB
14984,1770733,18,0,80.0,BBB
14984,1771053,17,0,60.0,BBB
14984,1776925,26,0,64.0,BBB
14984,1789199,19,0,57.0,BBB
14984,1797614,-1,1,88.0,BBB
14984,1847146,21,0,65.0,BBB
14984,1858523,15,0,62.0,BBB
14984,1903527,17,0,80.0,BBB
14984,1904710,12,0,73.0,BBB
14984,1912438,18,0,85.0,BBB
14984,1923618,18,0,89.0,BBB
14984,1930367,17,0,87.0,BBB
14984,1937864,18,0,78.0,BBB
14984,1971393,11,0,89.0,BBB
14984,1993672,35,0,52.0,BBB
14984,1997796,21,0,85.0,BBB
14984,2019837,16,0,72.0,BBB
14984,2023366,19,0,91.0,BBB
14984,2034350,15,0,87.0,BBB
14984,2092834,17,0,70.0,BBB
14984,2097916,14,0,95.0,BBB
14984,2132811,19,0,75.0,BBB
14984,2173572,19,0,75.0,BBB
14984,2205383,19,0,93.0,BBB
14984,2210318,19,0,86.0,BBB
14984,2231614,19,0,63.0,BBB
14984,2236738,17,0,84.0,BBB
14984,2243551,19,0,39.0,BBB
14984,2244724,19,0,62.0,BBB
14984,2249372,18,0,75.0,BBB
14984,2254619,16,0,74.0,BBB
14984,2269480,18,0,87.0,BBB
14984,2273828,19,0,82.0,BBB
14984,2279538,19,0,52.0,BBB
14984,2288607,15,0,70.0,BBB
14984,2290090,18,0,80.0,BBB
14984,2291598,18,0,67.0,BBB
14984,2293443,16,0,77.0,BBB
14984,2296749,26,0,70.0,BBB
14984,2300911,23,0,75.0,BBB
14984,2301111,16,0,91.0,BBB
14984,2302925,18,0,83.0,BBB
14984,2308528,16,0,70.0,BBB
14984,2322046,15,0,50.0,BBB
14984,2322342,18,0,78.0,BBB
14984,2327072,12,0,87.0,BBB
14984,2336550,17,0,55.0,BBB
14984,2366070,19,0,73.0,BBB
14984,2375144,17,0,80.0,BBB
14984,2376628,16,0,73.0,BBB
14984,2377567,18,0,61.0,BBB
14984,2380539,19,0,93.0,BBB
14984,2384819,19,0,77.0,BBB
14984,2395222,18,0,83.0,BBB
14984,2418877,20,0,75.0,BBB
14984,2425726,18,0,62.0,BBB
14984,2439201,19,0,63.0,BBB
14984,2442685,28,0,70.0,BBB
14984,2444088,18,0,87.0,BBB
14984,2444703,23,0,60.0,BBB
14984,2445088,26,0,72.0,BBB
14984,2445949,24,0,63.0,BBB
14984,2446144,18,0,68.0,BBB
14984,2458984,18,0,65.0,BBB
14984,2464963,19,0,65.0,BBB
14984,2466123,20,0,63.0,BBB
14984,2470672,18,0,60.0,BBB
14984,2474493,18,0,80.0,BBB
14984,2475780,17,0,73.0,BBB
14984,2476649,19,0,74.0,BBB
14984,2481224,14,0,85.0,BBB
14984,2481765,17,0,79.0,BBB
14984,2483179,19,0,74.0,BBB
14984,2483568,19,0,80.0,BBB
14984,2487541,16,0,83.0,BBB
14984,2498299,18,0,87.0,BBB
14984,2512392,19,0,85.0,BBB
14984,2517864,16,0,90.0,BBB
14984,2518653,18,0,87.0,BBB
14984,2521745,18,0,50.0,BBB
14984,2522093,18,0,87.0,BBB
14984,2524127,-1,1,73.0,BBB
14984,2528966,25,0,65.0,BBB
14984,2531031,17,0,73.0,BBB
14984,2535788,27,0,65.0,BBB
14984,2540362,16,0,70.0,BBB
14984,2541120,19,0,79.0,BBB
14984,2553749,31,0,75.0,BBB
14984,2560219,19,0,65.0,BBB
14984,2569163,16,0,81.0,BBB
14984,2571447,18,0,81.0,BBB
14984,2572118,19,0,70.0,BBB
14984,2575914,16,0,82.0,BBB
14984,2578567,19,0,78.0,BBB
14984,2579459,16,0,72.0,BBB
14984,2580439,19,0,83.0,BBB
14984,2581528,19,0,74.0,BBB
14984,2591421,19,0,60.0,BBB
14984,2602809,18,0,62.0,BBB
14984,2608235,17,0,60.0,BBB
14984,2608453,19,0,79.0,BBB
14984,2612483,15,0,90.0,BBB
14984,2616787,25,0,75.0,BBB
14984,2617596,16,0,93.0,BBB
14984,2617999,18,0,63.0,BBB
14984,2620178,17,0,87.0,BBB
14984,2622465,16,0,80.0,BBB
14984,2626410,13,0,76.0,BBB
14984,2635505,24,0,70.0,BBB
14984,2635829,11,0,74.0,BBB
14984,2639611,17,0,88.0,BBB
14984,2641393,19,0,76.0,BBB
14984,2642029,17,0,94.0,BBB
14984,2645061,18,0,77.0,BBB
14984,2649947,18,0,73.0,BBB
14984,2654302,22,0,70.0,BBB
14984,2664301,19,0,74.0,BBB
14984,2680770,19,0,69.0,BBB
14984,2685831,16,0,78.0,BBB
14984,2692384,17,0,74.0,BBB
14984,23629,9,0,67.0,BBB
14984,25107,20,0,59.0,BBB
14984,27891,18,0,73.0,BBB
14984,29144,18,0,60.0,BBB
14984,31663,18,0,88.0,BBB
14984,33666,18,0,58.0,BBB
14984,34229,19,0,73.0,BBB
14984,34353,18,0,95.0,BBB
14984,34756,21,0,71.0,BBB
14984,34863,20,0,64.0,BBB
14984,35812,19,0,71.0,BBB
14984,39655,18,0,78.0,BBB
14984,50993,19,0,61.0,BBB
14984,52899,26,0,72.0,BBB
14984,58089,18,0,75.0,BBB
14984,62631,18,0,75.0,BBB
14984,70608,18,0,81.0,BBB
14984,74695,18,0,90.0,BBB
14984,74734,18,0,78.0,BBB
14984,75399,19,0,65.0,BBB
14984,78645,17,0,75.0,BBB
14984,82535,18,0,73.0,BBB
14984,82741,15,0,68.0,BBB
14984,83254,25,0,77.0,BBB
14984,84245,-4,0,82.0,BBB
14984,84664,17,0,87.0,BBB
14984,86291,72,0,87.0,BBB
14984,87732,19,0,81.0,BBB
14984,91322,20,0,78.0,BBB
14984,92274,18,0,67.0,BBB
14984,92832,17,0,62.0,BBB
14984,92947,17,0,70.0,BBB
14984,92993,18,0,63.0,BBB
14984,94616,25,0,70.0,BBB
14984,97154,18,0,85.0,BBB
14984,98313,16,0,74.0,BBB
14984,104054,18,0,87.0,BBB
14984,108377,6,0,87.0,BBB
14984,108589,18,0,73.0,BBB
14984,109938,16,0,87.0,BBB
14984,110881,18,0,75.0,BBB
14984,116603,18,0,83.0,BBB
14984,120994,41,0,70.0,BBB
14984,123860,18,0,60.0,BBB
14984,126322,18,0,65.0,BBB
14984,133155,19,0,87.0,BBB
14984,133748,13,0,74.0,BBB
14984,141823,10,0,58.0,BBB
14984,142324,18,0,70.0,BBB
