code_module,code_presentation,id_student,date_registration,date_unregistration
BBB,2013B,23629,-47.0,
BBB,2013B,25107,-73.0,
BBB,2013B,27891,-58.0,153.0
BBB,2013B,29144,-24.0,
BBB,2013B,31663,-60.0,
BBB,2013B,33666,-23.0,139.0
BBB,2013B,34229,-58.0,
BBB,2013B,34353,-16.0,
BBB,2013B,34431,-24.0,27.0
BBB,2013B,34694,-55.0,-54.0
BBB,2013B,34756,-43.0,59.0
BBB,2013B,34863,-65.0,
BBB,2013B,35812,-53.0,
BBB,2013B,39655,-22.0,
BBB,2013B,50993,-53.0,
BBB,2013B,52899,-117.0,86.0
BBB,2013B,58089,-58.0,
BBB,2013B,62631,-45.0,
BBB,2013B,70608,-17.0,
BBB,2013B,71433,-19.0,
BBB,2013B,72070,-24.0,10.0
BBB,2013B,74695,-64.0,
BBB,2013B,74734,2.0,
BBB,2013B,75399,-24.0,
BBB,2013B,78645,-28.0,
BBB,2013B,79378,-24.0,
BBB,2013B,82535,-19.0,
BBB,2013B,82741,-60.0,
BBB,2013B,83254,-51.0,
BBB,2013B,84245,-27.0,
BBB,2013B,84664,-92.0,
BBB,2013B,86291,-15.0,72.0
BBB,2013B,87604,-111.0,-75.0
BBB,2013B,87732,-66.0,
BBB,2013B,88580,-23.0,-8.0
BBB,2013B,91322,-19.0,
BBB,2013B,92274,-96.0,132.0
BBB,2013B,92832,-65.0,
BBB,2013B,92947,-227.0,
BBB,2013B,92993,-43.0,
BBB,2013B,94616,-22.0,
BBB,2013B,96291,-51.0,42.0
BBB,2013B,97154,-50.0,
BBB,2013B,98313,-22.0,
BBB,2013B,102849,-51.0,-4.0
BBB,2013B,104054,-19.0,
BBB,2013B,108377,-53.0,
BBB,2013B,108589,-108.0,
BBB,2013B,109938,-44.0,
BBB,2013B,110881,-43.0,
BBB,2013B,116603,-28.0,
BBB,2013B,117071,-25.0,
BBB,2013B,120994,-19.0,
BBB,2013B,122524,-68.0,
BBB,2013B,123379,-131.0,-59.0
BBB,2013B,123860,-29.0,
BBB,2013B,126322,-106.0,
BBB,2013B,126411,-124.0,
BBB,2013B,127209,-255.0,-225.0
BBB,2013B,128776,-97.0,24.0
BBB,2013B,133155,-55.0,
BBB,2013B,133531,-24.0,
BBB,2013B,133748,-61.0,
BBB,2013B,141823,-47.0,86.0
BBB,2013B,142324,-23.0,
BBB,2013B,143741,-16.0,
BBB,2013B,143854,-23.0,27.0
BBB,2013B,145544,-45.0,
BBB,2013B,147876,-53.0,
BBB,2013B,151697,-23.0,
BBB,2013B,152153,-93.0,157.0
BBB,2013B,152910,-8.0,
BBB,2013B,152929,-104.0,
BBB,2013B,153212,-82.0,
BBB,2013B,153704,-166.0,166.0
BBB,2013B,154027,-19.0,
BBB,2013B,154125,-17.0,
BBB,2013B,154540,-34.0,
BBB,2013B,155735,-45.0,13.0
BBB,2013B,156835,-135.0,
BBB,2013B,161678,-27.0,
BBB,2013B,165243,-25.0,
BBB,2013B,169515,-50.0,135.0
BBB,2013B,170356,-46.0,68.0
BBB,2013B,171377,-90.0,
BBB,2013B,173316,-99.0,
BBB,2013B,173335,-61.0,
BBB,2013B,174321,-82.0,-19.0
BBB,2013B,177639,-24.0,11.0
BBB,2013B,179605,-68.0,76.0
BBB,2013B,182824,-43.0,
BBB,2013B,183806,-104.0,
BBB,2013B,185240,-87.0,33.0
BBB,2013B,185349,-54.0,
BBB,2013B,186670,-11.0,
